segment_id,lat_cell,lon_cell,detections
0,-18.1,21.5,57
0,-3.9,-43.4,2
0,20.5,75.2,1
0,-8.4,22.7,234
0,55.1,36.6,7
0,6.2,80.7,9
0,-30.4,-53.2,1
0,1.5,23.2,4
0,35.4,-94.1,2
0,-12.9,-44.9,9
0,-6.7,-69.7,2
0,32.1,-115.3,6
0,50.3,60.1,13
0,-11.4,40.4,1
0,-7.8,27.8,132
0,53.9,63.8,1
0,-15.2,33.5,136
0,47.2,-96.4,1
0,-18.6,19.7,19
0,0.4,25.3,47
0,-5.4,-59.1,1
0,-16.9,-62.3,5
0,36.3,-76.9,163
0,-26.5,32.2,59
0,30.6,113.9,5
0,52.8,37.0,1
0,13.6,-87.4,10
0,-32.4,26.7,1
0,-29.3,-62.5,5
0,41.0,-4.1,2
0,-37.2,141.2,12
0,-17.0,-58.3,1
0,45.8,-108.7,3
0,60.3,-122.9,4
0,-15.0,33.7,119
0,-16.6,39.0,38
0,-17.0,127.8,2
0,0.4,-76.4,1
0,-22.6,46.6,9
0,-5.3,31.3,1
0,-15.6,-61.4,5
0,-9.8,35.6,33
0,33.1,74.9,1
0,60.8,97.2,37
0,6.7,30.0,5
0,20.0,-101.9,7
0,-14.4,27.2,94
0,52.6,0.1,2
0,-15.7,21.0,53
0,16.6,-92.7,4
0,6.9,-75.9,4
0,-16.0,32.1,49
0,-4.2,23.9,165
0,-17.6,22.4,219
0,51.4,41.9,1
0,20.3,-76.4,11
0,14.1,-10.6,9
0,-16.9,130.4,46
0,-4.8,-44.0,4
0,55.2,-100.9,320
0,6.6,-8.3,4
0,-24.1,-59.8,6
0,45.8,21.5,3
0,27.3,118.8,3
0,23.1,112.6,11
0,-17.6,29.6,1
0,-29.2,152.0,1
0,32.4,115.6,1
0,-15.6,13.5,1
0,19.7,109.8,1
0,36.4,-114.6,2
0,-15.4,30.4,104
0,-29.5,150.7,5
0,-15.2,135.0,128
0,10.5,125.1,18
0,60.0,10.1,1
0,29.0,102.5,3
0,57.7,55.3,1
0,-1.8,40.9,1
0,48.1,-3.9,1
0,-20.8,-58.0,1
0,45.6,40.4,3
0,-20.9,-56.4,4
0,-16.0,-41.6,2
0,1.1,32.5,9
0,52.8,115.6,6
0,16.3,-97.2,2
0,32.3,-6.4,1
0,29.7,-96.7,7
0,34.1,132.5,1
0,39.9,41.3,3
0,33.5,48.2,41
0,2.3,36.1,1
0,21.1,105.9,4
0,-9.0,-50.4,2
0,-11.8,43.2,1
0,56.9,-114.0,134
0,-33.9,-69.1,16
0,37.7,60.0,1
0,-18.0,130.6,3
0,1.7,113.8,1
0,27.0,81.6,1
0,37.6,-8.8,2
0,8.6,41.3,2
0,-6.2,-51.5,1
0,3.2,38.5,2
0,54.8,-118.4,7
0,-19.7,127.7,62
0,-19.3,129.3,34
0,6.5,-68.2,4
0,-22.6,34.4,6
0,44.4,42.8,8
0,-9.2,37.7,40
0,51.8,16.5,8
0,11.8,38.0,1
0,27.4,-99.6,13
0,29.6,107.2,9
0,49.1,124.7,4
0,-15.7,24.1,147
0,-11.1,39.7,76
0,-10.8,-76.9,1
0,12.6,28.2,4
0,17.0,79.9,1
0,42.0,26.0,2
